PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LaMarcus Aldridge,8,21300015,10/30/2013,1610612757,POR,Portland,200746,F,,39:26:00,12,22,0.545,0,0,0,4,5,0.8,1,3,4,2,0,0,2,2,28,-16
LaMarcus Aldridge,8,21300029,11/1/2013,1610612757,POR,Portland,200746,F,,36:11:00,12,26,0.462,0,0,0,1,4,0.25,2,7,9,4,1,1,1,2,25,22
LaMarcus Aldridge,8,21300039,11/2/2013,1610612757,POR,Portland,200746,F,,38:15:00,11,17,0.647,0,0,0,2,2,1,0,7,7,4,1,2,3,1,24,11
LaMarcus Aldridge,8,21300058,11/5/2013,1610612757,POR,Portland,200746,F,,36:24:00,9,19,0.474,0,0,0,3,5,0.6,2,3,5,1,2,1,3,4,21,-22
LaMarcus Aldridge,8,21300084,11/8/2013,1610612757,POR,Portland,200746,F,,35:56:00,10,20,0.5,0,0,0,0,0,0,1,6,7,1,0,1,2,1,20,10
LaMarcus Aldridge,8,21300093,11/9/2013,1610612757,POR,Portland,200746,F,,35:27:00,10,19,0.526,0,0,0,2,4,0.5,2,12,14,3,1,0,1,2,22,12
LaMarcus Aldridge,8,21300105,11/11/2013,1610612757,POR,Portland,200746,F,,36:55:00,8,19,0.421,0,1,0,2,2,1,1,11,12,4,1,1,2,2,18,11
LaMarcus Aldridge,8,21300120,11/13/2013,1610612757,POR,Portland,200746,F,,37:50:00,5,19,0.263,0,0,0,2,2,1,3,9,12,1,1,1,4,2,12,1
LaMarcus Aldridge,8,21300128,11/15/2013,1610612757,POR,Portland,200746,F,,34:07:00,11,18,0.611,0,0,0,5,6,0.833,3,9,12,1,2,0,4,1,27,19
LaMarcus Aldridge,8,21300147,11/17/2013,1610612757,POR,Portland,200746,F,,42:22:00,11,27,0.407,0,0,0,3,7,0.429,2,9,11,4,2,0,0,1,25,8
