PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LeBron James,2,20800001,10/28/2008,1610612739,CLE,Cleveland,2544,F,,36:00:00,9,21,0.429,0,4,0,4,8,0.5,1,6,7,6,2,1,3,4,22,-3
Kobe Bryant,3,20800003,10/28/2008,1610612747,LAL,Los Angeles,977,G,,32:47:00,9,17,0.529,1,1,1,4,5,0.8,2,9,11,5,1,0,5,3,23,17
Brandon Roy,10,20800003,10/28/2008,1610612757,POR,Portland,200750,G,,37:45:00,5,15,0.333,2,4,0.5,2,2,1,1,2,3,5,3,0,2,0,14,-10
Chris Bosh,9,20800005,10/29/2008,1610612761,TOR,Toronto,2547,F,,41:56:00,9,16,0.563,0,0,0,9,10,0.9,4,7,11,4,1,1,2,1,27,12
Dwyane Wade,1,20800007,10/29/2008,1610612748,MIA,Miami,2548,G,,41:20:00,9,24,0.375,0,3,0,8,9,0.889,1,6,7,9,0,0,5,6,26,-4
Danny Granger,5,20800008,10/29/2008,1610612754,IND,Indiana,101122,F,,38:35:00,10,16,0.625,2,4,0.5,11,12,0.917,2,3,5,1,2,3,4,4,33,8
Kevin Durant,6,20800010,10/29/2008,1610612760,OKC,Oklahoma City,201142,G,,33:37:00,5,14,0.357,0,3,0,2,2,1,0,3,3,2,0,0,4,4,12,-14
Carmelo Anthony,8,20800013,10/29/2008,1610612743,DEN,Denver,2546,,DNP - NWT - Team suspension,,,,,,,,,,,,,,,,,,,,
Chris Paul,7,20800014,10/29/2008,1610612740,NOH,New Orleans,101108,G,,39:55:00,9,17,0.529,0,0,0,3,4,0.75,0,5,5,11,3,1,3,4,21,16
Kobe Bryant,3,20800015,10/29/2008,1610612747,LAL,Los Angeles,977,G,,30:44:00,5,12,0.417,0,2,0,6,7,0.857,2,6,8,3,2,0,5,2,16,23
LeBron James,2,20800016,10/30/2008,1610612739,CLE,Cleveland,2544,F,,30:16:00,7,15,0.467,0,2,0,8,12,0.667,2,7,9,9,0,1,5,3,22,10
Dirk Nowitzki,4,20800017,10/30/2008,1610612742,DAL,Dallas,1717,F,,38:39:00,10,22,0.455,2,4,0.5,14,14,1,2,5,7,0,0,2,2,3,36,6
Chris Paul,7,20800018,10/30/2008,1610612740,NOH,New Orleans,101108,G,,38:37:00,6,14,0.429,1,2,0.5,7,8,0.875,1,7,8,10,3,0,5,2,20,15
Chris Bosh,9,20800020,10/31/2008,1610612761,TOR,Toronto,2547,F,,42:01:00,12,24,0.5,0,0,0,7,10,0.7,1,8,9,1,1,1,3,1,31,5
Dwyane Wade,1,20800021,10/31/2008,1610612748,MIA,Miami,2548,G,,26:50:00,7,12,0.583,0,0,0,6,11,0.545,1,3,4,8,4,4,5,1,20,34
Brandon Roy,10,20800025,10/31/2008,1610612757,POR,Portland,200750,G,,34:52:00,10,18,0.556,1,3,0.333,5,7,0.714,1,4,5,7,3,0,1,2,26,2
