PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
James Harden,1,21800009,10/17/2018,1610612745,HOU,Houston,201935,G,,34:43:00,6,15,0.4,3,8,0.375,3,4,0.75,2,7,9,10,3,1,4,2,18,-23
James Harden,1,21800035,10/20/2018,1610612745,HOU,Houston,201935,G,,37:50:00,10,19,0.526,5,10,0.5,11,15,0.733,1,6,7,5,2,1,6,2,36,-3
James Harden,1,21800039,10/21/2018,1610612745,HOU,Houston,201935,G,,39:45:00,11,26,0.423,4,12,0.333,5,6,0.833,0,4,4,14,2,0,3,1,31,5
James Harden,1,21800057,10/24/2018,1610612745,HOU,Houston,201935,G,,31:38:00,10,19,0.526,3,4,0.75,6,9,0.667,1,4,5,7,1,0,7,4,29,-5
James Harden,1,21800129,11/3/2018,1610612745,HOU,Houston,201935,G,,33:16:00,7,17,0.412,5,12,0.417,6,8,0.75,0,1,1,7,4,0,8,3,25,9
James Harden,1,21800141,11/5/2018,1610612745,HOU,Houston,201935,G,,35:07:00,7,15,0.467,5,12,0.417,9,9,1,0,4,4,6,3,1,5,5,28,6
James Harden,1,21800163,11/8/2018,1610612745,HOU,Houston,201935,G,,37:32:00,7,19,0.368,4,12,0.333,1,3,0.333,1,7,8,5,2,1,5,3,19,-13
James Harden,1,21800180,11/10/2018,1610612745,HOU,Houston,201935,G,,38:31:00,7,27,0.259,1,13,0.077,10,13,0.769,0,6,6,3,2,2,2,3,25,-8
James Harden,1,21800185,11/11/2018,1610612745,HOU,Houston,201935,G,,37:59:00,9,20,0.45,8,18,0.444,14,15,0.933,0,7,7,9,1,1,9,5,40,13
James Harden,1,21800200,11/13/2018,1610612745,HOU,Houston,201935,G,,36:49:00,7,16,0.438,2,10,0.2,6,8,0.75,1,4,5,11,3,1,4,3,22,13
