PLAYER_NAME,Rank,GAME_ID,Date Played,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
Kevin Durant,1,20901224,4/14/2010,1610612760,OKC,Oklahoma City,201142,F,,37:53:00,12,18,0.667,2,3,0.667,5,5,1,1,6,7,4,2,3,4,1,31,10
Kevin Durant,1,20901210,4/12/2010,1610612760,OKC,Oklahoma City,201142,F,,39:50:00,8,20,0.4,4,8,0.5,10,10,1,1,4,5,4,0,0,3,4,30,-14
Kevin Durant,1,20901200,4/11/2010,1610612760,OKC,Oklahoma City,201142,F,,39:33:00,13,29,0.448,3,8,0.375,11,11,1,2,8,10,5,2,2,2,1,40,10
Kevin Durant,1,20901183,4/9/2010,1610612760,OKC,Oklahoma City,201142,F,,39:20:00,10,21,0.476,1,3,0.333,14,16,0.875,3,6,9,2,3,0,0,3,35,4
Kevin Durant,1,20901165,4/7/2010,1610612760,OKC,Oklahoma City,201142,F,,44:58:00,9,21,0.429,1,5,0.2,14,15,0.933,0,11,11,4,1,3,3,1,33,1
Kevin Durant,1,20901156,4/6/2010,1610612760,OKC,Oklahoma City,201142,F,,43:30:00,13,29,0.448,7,13,0.538,12,12,1,2,5,7,4,2,2,3,4,45,2
Kevin Durant,1,20901147,4/4/2010,1610612760,OKC,Oklahoma City,201142,F,,40:28:00,13,22,0.591,2,4,0.5,12,12,1,4,5,9,2,1,2,2,4,40,8
Kevin Durant,1,20901137,4/3/2010,1610612760,OKC,Oklahoma City,201142,F,,39:14:00,7,18,0.389,0,3,0,9,11,0.818,2,3,5,5,5,1,5,3,23,-7
Kevin Durant,1,20901111,3/31/2010,1610612760,OKC,Oklahoma City,201142,F,,44:12:00,10,20,0.5,2,5,0.4,15,15,1,2,6,8,2,1,0,2,0,37,9
Kevin Durant,1,20901103,3/30/2010,1610612760,OKC,Oklahoma City,201142,F,,37:55:00,8,17,0.471,2,4,0.5,8,11,0.727,2,8,10,2,3,2,4,2,26,23
Kevin Durant,1,20901094,3/28/2010,1610612760,OKC,Oklahoma City,201142,F,,43:08:00,7,18,0.389,2,5,0.4,13,15,0.867,3,10,13,1,1,3,5,1,29,-9
Kevin Durant,1,20901078,3/26/2010,1610612760,OKC,Oklahoma City,201142,F,,34:59:00,9,19,0.474,1,7,0.143,7,7,1,1,7,8,3,0,0,3,2,26,31
Kevin Durant,1,20901065,3/24/2010,1610612760,OKC,Oklahoma City,201142,F,,30:53:00,8,16,0.5,1,4,0.25,8,8,1,0,4,4,3,1,2,1,1,25,13
Kevin Durant,1,20901049,3/22/2010,1610612760,OKC,Oklahoma City,201142,F,,42:24:00,15,24,0.625,1,4,0.25,14,15,0.933,0,8,8,1,0,3,3,2,45,-6
Kevin Durant,1,20901037,3/21/2010,1610612760,OKC,Oklahoma City,201142,F,,33:09:00,4,16,0.25,1,6,0.167,7,7,1,2,3,5,3,2,1,5,2,16,-22
Kevin Durant,1,20901019,3/19/2010,1610612760,OKC,Oklahoma City,201142,F,,31:47:00,7,16,0.438,0,4,0,17,18,0.944,4,2,6,3,0,0,0,3,31,31
Kevin Durant,1,20901005,3/17/2010,1610612760,OKC,Oklahoma City,201142,F,,40:12:00,9,26,0.346,0,7,0,8,8,1,4,6,10,1,1,0,0,2,26,-11
Kevin Durant,1,20900987,3/14/2010,1610612760,OKC,Oklahoma City,201142,F,,41:18:00,10,17,0.588,2,6,0.333,13,13,1,0,3,3,3,1,0,2,1,35,11
Kevin Durant,1,20900972,3/12/2010,1610612760,OKC,Oklahoma City,201142,F,,41:45:00,10,21,0.476,2,5,0.4,10,10,1,1,11,12,2,1,0,2,1,32,13
Kevin Durant,1,20900958,3/10/2010,1610612760,OKC,Oklahoma City,201142,F,,34:31:00,11,19,0.579,2,3,0.667,5,6,0.833,1,3,4,2,0,1,2,1,29,21
Kevin Durant,1,20900938,3/7/2010,1610612760,OKC,Oklahoma City,201142,F,,43:08:00,9,21,0.429,1,3,0.333,8,8,1,2,6,8,5,1,1,3,0,27,2
Kevin Durant,1,20900924,3/5/2010,1610612760,OKC,Oklahoma City,201142,F,,38:16:00,10,22,0.455,0,2,0,12,14,0.857,1,8,9,2,2,2,1,1,32,17
Kevin Durant,1,20900908,3/3/2010,1610612760,OKC,Oklahoma City,201142,F,,26:36:00,5,14,0.357,2,6,0.333,7,9,0.778,1,3,4,0,0,3,4,1,19,-21
Kevin Durant,1,20900897,3/2/2010,1610612760,OKC,Oklahoma City,201142,F,,41:43:00,13,26,0.5,1,4,0.25,12,12,1,2,8,10,2,1,0,3,2,39,16
Kevin Durant,1,20900882,2/28/2010,1610612760,OKC,Oklahoma City,201142,F,,31:60,9,18,0.5,2,3,0.667,9,10,0.9,0,6,6,1,1,1,2,3,29,30
Kevin Durant,1,20900865,2/26/2010,1610612760,OKC,Oklahoma City,201142,F,,36:10:00,8,17,0.471,1,3,0.333,8,9,0.889,2,7,9,3,2,1,1,1,25,30
Kevin Durant,1,20900851,2/24/2010,1610612760,OKC,Oklahoma City,201142,F,,39:52:00,7,19,0.368,1,5,0.2,6,6,1,0,12,12,3,2,2,2,2,21,-13
Kevin Durant,1,20900842,2/23/2010,1610612760,OKC,Oklahoma City,201142,F,,41:10:00,13,24,0.542,3,5,0.6,7,7,1,0,8,8,3,2,0,2,1,36,-5
Kevin Durant,1,20900827,2/21/2010,1610612760,OKC,Oklahoma City,201142,F,,40:44:00,8,16,0.5,2,3,0.667,14,15,0.933,0,6,6,2,1,2,3,3,32,5
Kevin Durant,1,20900817,2/20/2010,1610612760,OKC,Oklahoma City,201142,F,,46:52:00,10,25,0.4,2,6,0.333,14,15,0.933,1,4,5,3,1,1,5,2,36,5
Kevin Durant,1,20900786,2/16/2010,1610612760,OKC,Oklahoma City,201142,F,,40:48:00,9,28,0.321,2,7,0.286,5,8,0.625,2,12,14,2,0,3,1,1,25,10
Kevin Durant,1,20900767,2/9/2010,1610612760,OKC,Oklahoma City,201142,F,,34:41:00,12,25,0.48,2,3,0.667,7,8,0.875,2,9,11,1,2,0,2,4,33,4
Kevin Durant,1,20900751,2/6/2010,1610612760,OKC,Oklahoma City,201142,F,,42:29:00,7,21,0.333,2,4,0.5,13,14,0.929,1,7,8,4,4,1,4,1,29,17
