PLAYER_NAME,Rank,GAME_ID,Date Played,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
Carmelo Anthony,1,21200020,11/2/2012,1610612752,NYK,New York,2546,F,,38:55:00,10,28,0.357,4,8,0.5,6,7,0.857,4,6,10,2,2,0,1,3,30,24
Carmelo Anthony,1,21200037,11/4/2012,1610612752,NYK,New York,2546,F,,38:59:00,10,18,0.556,1,4,0.25,6,9,0.667,1,4,5,1,1,2,2,2,27,5
Carmelo Anthony,1,21200042,11/5/2012,1610612752,NYK,New York,2546,F,,30:26:00,7,16,0.438,1,6,0.167,6,6,1,2,5,7,2,0,1,2,2,21,20
Carmelo Anthony,1,21200071,11/9/2012,1610612752,NYK,New York,2546,F,,34:28:00,10,22,0.455,2,5,0.4,9,14,0.643,0,7,7,1,0,2,3,5,31,10
Carmelo Anthony,1,21200104,11/13/2012,1610612752,NYK,New York,2546,F,,42:31:00,11,22,0.5,1,4,0.25,2,3,0.667,1,7,8,2,1,0,3,2,25,7
Carmelo Anthony,1,21200120,11/15/2012,1610612752,NYK,New York,2546,F,,40:31:00,3,12,0.25,0,2,0,3,4,0.75,5,7,12,3,0,0,2,3,9,-2
Carmelo Anthony,1,21200127,11/16/2012,1610612752,NYK,New York,2546,F,,30:24:00,7,14,0.5,1,2,0.5,5,5,1,1,2,3,1,1,0,5,5,20,2
Carmelo Anthony,1,21200139,11/18/2012,1610612752,NYK,New York,2546,F,,30:54:00,9,22,0.409,1,4,0.25,7,8,0.875,4,5,9,0,2,0,0,4,26,18
Carmelo Anthony,1,21200155,11/20/2012,1610612752,NYK,New York,2546,F,,28:04:00,12,22,0.545,2,6,0.333,3,3,1,2,4,6,4,0,0,1,1,29,24
Carmelo Anthony,1,21200167,11/21/2012,1610612752,NYK,New York,2546,F,,40:35:00,7,16,0.438,2,4,0.5,7,8,0.875,0,6,6,4,1,0,7,6,23,3
Carmelo Anthony,1,21200178,11/23/2012,1610612752,NYK,New York,2546,F,,34:33:00,14,24,0.583,7,12,0.583,2,2,1,1,3,4,2,0,0,7,4,37,-12
Carmelo Anthony,1,21200192,11/25/2012,1610612752,NYK,New York,2546,F,,31:35:00,10,18,0.556,4,5,0.8,5,5,1,2,0,2,3,1,0,6,2,29,20
Carmelo Anthony,1,21200013,11/26/2012,1610612752,NYK,New York,2546,F,,50:03:00,11,25,0.44,3,5,0.6,10,16,0.625,6,7,13,1,1,1,3,4,35,-6
Carmelo Anthony,1,21200215,11/28/2012,1610612752,NYK,New York,2546,F,,30:28:00,9,18,0.5,3,4,0.75,8,9,0.889,2,6,8,0,1,1,1,2,29,13
Carmelo Anthony,1,21200226,11/30/2012,1610612752,NYK,New York,2546,F,,27:57:00,6,13,0.462,1,4,0.25,7,10,0.7,0,5,5,5,0,1,2,3,20,15
Carmelo Anthony,1,21200243,12/2/2012,1610612752,NYK,New York,2546,F,,37:42:00,11,27,0.407,4,10,0.4,8,8,1,3,3,6,2,1,2,4,2,34,16
Carmelo Anthony,1,21200257,12/5/2012,1610612752,NYK,New York,2546,F,,38:07:00,8,22,0.364,3,7,0.429,4,4,1,0,3,3,2,3,1,1,3,23,4
Carmelo Anthony,1,21200268,12/6/2012,1610612752,NYK,New York,2546,,DND - Lacerated Left Third Finger,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200288,12/8/2012,1610612752,NYK,New York,2546,,DND - Lacerated Left Third Finger,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200295,12/9/2012,1610612752,NYK,New York,2546,F,,39:02:00,10,24,0.417,3,8,0.375,11,16,0.688,1,5,6,1,2,0,1,4,34,-10
Carmelo Anthony,1,21200304,12/11/2012,1610612752,NYK,New York,2546,F,,44:00:00,15,24,0.625,5,7,0.714,10,11,0.909,3,2,5,3,0,0,2,3,45,5
Carmelo Anthony,1,21200323,12/13/2012,1610612752,NYK,New York,2546,F,,22:55,10,15,0.667,3,5,0.6,7,8,0.875,0,3,3,0,1,0,0,1,30,11
Carmelo Anthony,1,21200338,12/15/2012,1610612752,NYK,New York,2546,,DND - Sprained Left Ankle,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200351,12/17/2012,1610612752,NYK,New York,2546,,DND - Sprained Left Ankle,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200367,12/19/2012,1610612752,NYK,New York,2546,F,,35:38:00,12,22,0.545,4,8,0.5,3,3,1,0,3,3,1,2,1,1,2,31,18
Carmelo Anthony,1,21200383,12/21/2012,1610612752,NYK,New York,2546,F,,36:48:00,10,25,0.4,1,5,0.2,8,8,1,1,2,3,1,3,1,1,4,29,-14
Carmelo Anthony,1,21200400,12/23/2012,1610612752,NYK,New York,2546,F,,43:45:00,10,25,0.4,3,10,0.3,10,11,0.909,0,7,7,2,1,1,4,5,33,-1
Carmelo Anthony,1,21200406,12/25/2012,1610612752,NYK,New York,2546,F,,43:17:00,13,23,0.565,3,8,0.375,5,6,0.833,1,6,7,3,0,0,3,4,34,-7
Carmelo Anthony,1,21200421,12/26/2012,1610612752,NYK,New York,2546,,DND - Hyperextended Left Knee,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200434,12/28/2012,1610612752,NYK,New York,2546,,DND - hyperextended left knee,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,1,21200459,1/1/2013,1610612752,NYK,New York,2546,F,,41:12:00,14,24,0.583,5,11,0.455,12,14,0.857,2,5,7,4,1,0,2,3,45,1
Carmelo Anthony,1,21200476,1/3/2013,1610612752,NYK,New York,2546,F,,35:49:00,9,20,0.45,2,5,0.4,3,4,0.75,2,6,8,3,0,0,2,1,23,16
Carmelo Anthony,1,21200490,1/5/2013,1610612752,NYK,New York,2546,F,,45:01:00,14,29,0.483,4,9,0.444,8,9,0.889,2,4,6,6,1,0,1,3,40,7
Carmelo Anthony,1,21200505,1/7/2013,1610612752,NYK,New York,2546,F,,36:51:00,6,26,0.231,4,12,0.333,4,7,0.571,0,3,3,5,1,0,2,5,20,0
Carmelo Anthony,1,21200527,1/10/2013,1610612752,NYK,New York,2546,,NWT - League Suspension,,,,,,,,,,,,,,,,,,,,
