PLAYER_NAME,rank,GAME_ID,Date Played,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
Russell Westbrook,8,21700060,10/25/2017,1610612760,OKC,Oklahoma City,201566,G,,35:09:00,10,18,0.556,2,4,0.5,6,10,0.6,1,9,10,16,3,0,7,3,28,27
Russell Westbrook,8,21700074,10/27/2017,1610612760,OKC,Oklahoma City,201566,G,,36:46:00,10,18,0.556,1,3,0.333,6,8,0.75,1,7,8,9,2,0,8,5,27,-13
Russell Westbrook,8,21700079,10/28/2017,1610612760,OKC,Oklahoma City,201566,G,,28:25:00,5,13,0.385,0,2,0,2,3,0.667,2,11,13,13,2,0,2,2,12,26
Russell Westbrook,8,21700103,10/31/2017,1610612760,OKC,Oklahoma City,201566,G,,26:35:00,5,12,0.417,0,2,0,2,3,0.667,1,9,10,10,0,0,4,2,12,13
Russell Westbrook,8,21700129,11/3/2017,1610612760,OKC,Oklahoma City,201566,G,,37:46:00,7,20,0.35,3,7,0.429,2,2,1,1,5,6,11,1,0,6,5,19,-7
Russell Westbrook,8,21700144,11/5/2017,1610612760,OKC,Oklahoma City,201566,G,,35:39:00,10,25,0.4,3,10,0.3,2,7,0.286,0,6,6,9,2,0,1,4,25,-15
Russell Westbrook,8,21700158,11/7/2017,1610612760,OKC,Oklahoma City,201566,G,,36:35:00,7,21,0.333,2,8,0.25,4,5,0.8,0,12,12,6,3,0,7,2,20,2
Russell Westbrook,8,21700168,11/9/2017,1610612760,OKC,Oklahoma City,201566,G,,35:24:00,6,22,0.273,1,6,0.167,0,3,0,4,3,7,5,3,0,3,2,13,-9
Russell Westbrook,8,21700172,11/10/2017,1610612760,OKC,Oklahoma City,201566,G,,33:55:00,8,16,0.5,1,3,0.333,5,6,0.833,1,2,3,8,3,0,4,3,22,19
Russell Westbrook,8,21700191,11/12/2017,1610612760,OKC,Oklahoma City,201566,G,,32:41:00,6,18,0.333,3,5,0.6,12,13,0.923,0,6,6,5,3,0,4,2,27,14
Russell Westbrook,8,21700212,11/15/2017,1610612760,OKC,Oklahoma City,201566,G,,31:53:00,6,13,0.462,2,5,0.4,7,7,1,0,5,5,7,4,0,4,3,21,18
Russell Westbrook,8,21700223,11/17/2017,1610612760,OKC,Oklahoma City,201566,G,,37:50:00,5,22,0.227,0,4,0,5,5,1,3,6,9,9,0,0,2,3,15,0
Russell Westbrook,8,21700248,11/20/2017,1610612760,OKC,Oklahoma City,201566,G,,38:37:00,6,19,0.316,2,7,0.286,8,10,0.8,3,13,16,12,3,0,3,3,22,9
Russell Westbrook,8,21700263,11/22/2017,1610612760,OKC,Oklahoma City,201566,G,,36:56:00,13,27,0.481,1,4,0.25,7,8,0.875,2,8,10,9,4,0,6,2,34,17
Russell Westbrook,8,21700273,11/24/2017,1610612760,OKC,Oklahoma City,201566,G,,39:02:00,10,29,0.345,1,10,0.1,6,7,0.857,1,10,11,11,3,0,5,2,27,0
Russell Westbrook,8,21700283,11/25/2017,1610612760,OKC,Oklahoma City,201566,G,,39:33:00,9,19,0.474,4,8,0.5,6,9,0.667,1,11,12,9,1,0,4,2,28,-2
Russell Westbrook,8,21700304,11/29/2017,1610612760,OKC,Oklahoma City,201566,G,,37:47:00,11,23,0.478,7,10,0.7,8,12,0.667,4,7,11,5,5,0,7,3,37,-5
Russell Westbrook,8,21700324,12/1/2017,1610612760,OKC,Oklahoma City,201566,G,,36:51:00,6,21,0.286,0,8,0,3,4,0.75,4,5,9,14,2,0,7,2,15,-3
Russell Westbrook,8,21700337,12/3/2017,1610612760,OKC,Oklahoma City,201566,G,,38:31:00,9,22,0.409,2,2,1,2,6,0.333,3,6,9,10,1,0,7,2,22,8
Russell Westbrook,8,21700351,12/5/2017,1610612760,OKC,Oklahoma City,201566,G,,38:15:00,12,25,0.48,2,9,0.222,8,9,0.889,0,12,12,14,1,1,7,3,34,4
Russell Westbrook,8,21700365,12/7/2017,1610612760,OKC,Oklahoma City,201566,G,,35:33:00,10,27,0.37,2,6,0.333,9,12,0.75,0,8,8,6,0,0,3,4,31,-9
Russell Westbrook,8,21700382,12/9/2017,1610612760,OKC,Oklahoma City,201566,G,,43:06:00,7,29,0.241,1,12,0.083,5,8,0.625,3,8,11,14,1,0,3,5,20,11
Russell Westbrook,8,21700394,12/11/2017,1610612760,OKC,Oklahoma City,201566,G,,36:11:00,10,22,0.455,1,2,0.5,9,9,1,1,3,4,7,3,0,2,3,30,-12
Russell Westbrook,8,21700404,12/13/2017,1610612760,OKC,Oklahoma City,201566,G,,36:02:00,3,17,0.176,1,3,0.333,3,7,0.429,3,14,17,12,2,0,5,0,10,2
Russell Westbrook,8,21700421,12/15/2017,1610612760,OKC,Oklahoma City,201566,G,,52:08:00,10,33,0.303,2,5,0.4,5,12,0.417,5,12,17,15,2,0,6,1,27,-4
Russell Westbrook,8,21700431,12/16/2017,1610612760,OKC,Oklahoma City,201566,G,,35:35:00,9,18,0.5,0,3,0,7,10,0.7,2,5,7,7,2,0,4,3,25,-4
Russell Westbrook,8,21700447,12/18/2017,1610612760,OKC,Oklahoma City,201566,G,,36:46:00,16,28,0.571,1,3,0.333,5,7,0.714,2,7,9,6,3,1,3,2,38,13
Russell Westbrook,8,21700460,12/20/2017,1610612760,OKC,Oklahoma City,201566,G,,27:29:00,10,13,0.769,0,0,0,4,4,1,4,6,10,7,4,0,1,2,24,36
Russell Westbrook,8,21700477,12/22/2017,1610612760,OKC,Oklahoma City,201566,G,,35:32:00,12,17,0.706,1,2,0.5,5,5,1,1,6,7,15,2,1,3,0,30,6
Russell Westbrook,8,21700488,12/23/2017,1610612760,OKC,Oklahoma City,201566,G,,38:12:00,11,24,0.458,2,3,0.667,3,4,0.75,2,8,10,10,1,1,2,3,27,12
Russell Westbrook,8,21700496,12/25/2017,1610612760,OKC,Oklahoma City,201566,G,,36:56:00,12,24,0.5,0,1,0,7,8,0.875,0,6,6,11,3,0,5,3,31,11
Russell Westbrook,8,21700512,12/27/2017,1610612760,OKC,Oklahoma City,201566,G,,35:29:00,11,22,0.5,0,1,0,8,10,0.8,2,6,8,13,2,0,7,1,30,26
Russell Westbrook,8,21700526,12/29/2017,1610612760,OKC,Oklahoma City,201566,G,,40:02:00,16,34,0.471,2,9,0.222,6,9,0.667,3,11,14,9,1,0,5,4,40,0
Russell Westbrook,8,21700541,12/31/2017,1610612760,OKC,Oklahoma City,201566,G,,36:45:00,17,28,0.607,0,4,0,4,7,0.571,1,14,15,11,1,0,2,2,38,0
Russell Westbrook,8,21700565,1/3/2018,1610612760,OKC,Oklahoma City,201566,G,,27:58:00,10,17,0.588,0,0,0,0,0,0,0,6,6,12,1,0,2,0,20,26
Russell Westbrook,8,21700567,1/4/2018,1610612760,OKC,Oklahoma City,201566,G,,38:05:00,11,24,0.458,2,2,1,5,6,0.833,2,10,12,11,1,0,6,3,29,6
Russell Westbrook,8,21700588,1/7/2018,1610612760,OKC,Oklahoma City,201566,G,,33:43:00,11,21,0.524,1,1,1,3,7,0.429,3,7,10,11,2,0,6,2,26,-10
